单位名称,分类,所属组织机构
内江供电公司本部,组织机构,
县级供电企业,组织机构,
公司所属各单位,组织机构,
安全监察部（保卫部）,单位,内江供电公司本部
办公室（党委办公室）,单位,内江供电公司本部
财务资产部,单位,内江供电公司本部
党委党建部（党委宣传部、工会、团委）,单位,内江供电公司本部
党委组织部（人力资源部）,单位,内江供电公司本部
电力调度控制中心,单位,内江供电公司本部
发展策划部,单位,内江供电公司本部
纪委办公室,单位,内江供电公司本部
建设部（项目管理中心）,单位,内江供电公司本部
科技数字化工作部,单位,内江供电公司本部
审计部,单位,内江供电公司本部
物资部,单位,内江供电公司本部
营销部(农电工作部）,单位,内江供电公司本部
运维检修部,单位,内江供电公司本部
综合服务中心,单位,内江供电公司本部
领导干部,单位,内江供电公司本部
助理/副总师,单位,内江供电公司本部
国网隆昌市供电分公司,单位,县级供电企业
国网东兴区供电分公司,单位,县级供电企业
国网威远县供电分公司,单位,县级供电企业
国网资中县供电分公司,单位,县级供电企业
市区供电中心,单位,县级供电企业
变电运检中心,单位,公司所属各单位
供电服务指挥中心,单位,公司所属各单位
经济技术研究所,单位,公司所属各单位
客户服务中心,单位,公司所属各单位
输电运检中心,单位,公司所属各单位
信息通信分公司,单位,公司所属各单位
内江三新公司,单位,公司所属各单位
内江星原公司,单位,公司所属各单位
四川东祥公司内江分公司,单位,公司所属各单位
乐山城电内江分公司,单位,公司所属各单位
西星公司（内江）招标代理处,单位,公司所属各单位
运维中心（不停电作业中心）,单位,公司所属各单位
领导干部,单位,公司所属各单位
会计核算中心,单位,公司所属各单位
建设中心,单位,公司所属各单位
市场经营部,单位,公司所属各单位
综合管理部（党委办公室、董事会办公室）,单位,公司所属各单位
负责人,单位,公司所属各单位
党委组织部（人力资源部）,单位,公司所属各单位
党委党建部（党委宣传部、工会、纪委办公室）,单位,公司所属各单位
综合管理部（党委办公室、董事长办公室）,单位,公司所属各单位
财务资产部,单位,公司所属各单位
安全监察部,单位,公司所属各单位
